	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P07585	10650	8248	14490	36430	25800	11060	45770	27780	21540
P30046	3432	2625	9645	12625	7852	6408	9930	9756	3964
P59665	169805	39715	71390	67032	39852	74650	33218	37065	36180
Q9UBP4	4697	9588	6891	8198	7600	5196	13910	14992	9936
Q8TDJ6	15985	15830	26840	33710	27440	29830	34940	39670	26200
Q8TE73	1801	6172	5474	5595	4842	4841	3556	3183	5142
Q9NYC9	16005	14160	22645	28315	26180	18075	29010	25760	24230
Q9Y6K1	190900	132600	646700	185500	184600	140800	159100	219900	347600
Q08554	8364	11560	32250	16980	16310	13660	22810	17000	15880
Q02487	36460	63170	57260	34710	22730	56440	16270	20560	44610
Q02413	6989	11742	8247	22288	11739	17708	5886	18655	14258
Q14126	7009	7512	15565	18010	13512	9624	21215	18930	15850
P15924	10720	24810	14950	22310	10860	19690	11490	16890	16520
Q03001	2182	1998	4521	8294	4717	4468	12320	7208	4719
Q8TEA8	11560	13790	14450	11810	10050	7210	8885	9521	13480
Q16610	35572	39350	52130	63498	35648	38795	79410	64552	74485
Q8IY85	6146	6108	7498	5526	4460	8196	3076	4122	5816
Q12805	24822	28965	39930	32230	18300	26342	38540	30550	35488
Q14152	22240	23130	26010	27070	17730	28290	15600	13500	34180
P17813	54360	62490	67850	86010	59130	69020	90560	89120	76840
P06733	40730	35535	38210	47740	44330	34800	40880	71590	46300
Q13822	22365	25110	39115	54490	38180	27990	58000	47825	41995
Q14674	17290	16580	21980	30140	17690	21120	45290	25930	30050
Q5T1H1	1423400	989250	1719950	1728250	1977500	1054400	1552500	2285550	1850400
P00742	38680	40680	76430	66680	62602	34470	82910	68615	97570
P03951	33840	37435	23025	30000	26420	28635	37560	35090	43890
P00748	54770	133800	75610	91080	77100	101900	79760	87150	118600
P00488	10246	10964	18070	23102	19580	9233	27945	18450	35905
P05160	40410	48685	71800	65005	55300	39665	52870	68390	61830
P00734	39995	28730	55750	65245	49850	38982	76920	69400	65265
P12259	29332	23062	49998	85010	78885	33198	86120	70915	80328
P08709	11090	6293	15480	18430	17460	9903	27190	18080	13310
P00740	41460	34210	45795	56960	71875	27630	66485	70330	79490
P16930	6229	6753	7790	8237	4500	6058	12410	7617	8208
Q8IXL6	2555	4416	3368	3772	3170	2918	2448	2021	3738
Q92520	6102	5615	11426	11364	7608	6588	14115	12260	10864
Q12884	4009	7664	4014	7381	2542	5465	4774	4406	6403
P23142	15600	22185	25318	44740	29058	33035	34462	33278	38465
P35555	27374	25982	50054	61245	51937	63548	47460	47408	54886
O75015	6479	9318	17600	50320	6474	10128	17775	14125	2432
O75636	26112	47140	48078	63665	40855	43588	93185	55815	50378
Q9UGM5	41202	57050	52700	91320	62260	46870	72368	86115	96690
